City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Current Description
259,Tucuman,AR,-26.8241,-65.2226,78.8,75,38,8.05,broken clouds
260,Jardim,BR,-21.4803,-56.1381,74.57,50,90,3.53,scattered clouds
261,Mogadishu,SO,2.0371,45.3438,78.26,15,89,14.88,few clouds
262,Shache,CN,38.4167,77.2406,47.91,88,43,2.71,overcast clouds
263,Mar Del Plata,AR,-38.0023,-57.5575,59.02,20,28,15.99,few clouds
264,Pangai,TO,-19.8,-174.35,73.51,90,83,0.0,overcast clouds
265,Biak,ID,-0.9131,122.8766,76.86,100,86,7.09,overcast clouds
266,Yazman,PK,29.1212,71.7446,85.51,0,15,12.37,clear sky
267,East London,ZA,-33.0153,27.9116,59.86,17,70,17.9,few clouds
268,Tucumcari,US,35.1717,-103.725,50.94,90,87,23.02,moderate rain
269,Coracao De Jesus,BR,-16.6853,-44.365,77.72,44,56,8.3,scattered clouds
270,Yellowknife,CA,62.456,-114.3525,37.92,75,100,16.11,light rain
271,General Roca,AR,-39.0333,-67.5833,82.8,25,17,11.16,scattered clouds
272,Makhinjauri,GE,41.6739,41.694,62.46,75,94,4.61,broken clouds
273,Fukue,JP,32.6881,128.8419,77.56,13,74,2.64,few clouds
274,Vardo,NO,70.3705,31.1107,44.58,75,87,4.61,broken clouds
275,Tak,TH,16.5833,98.8333,70.27,100,99,2.04,overcast clouds
276,Yulara,AU,-25.2406,130.9889,53.44,2,71,9.22,clear sky
277,Marfino,RU,55.7028,37.3822,44.94,0,76,4.47,clear sky
278,Xinyang,CN,32.1228,114.0656,55.45,100,64,15.08,light rain
279,Tilichiki,RU,60.4667,166.1,26.4,83,72,4.38,broken clouds
280,Lata,PT,40.1629,-8.3327,67.08,15,53,4.59,few clouds
281,Klungkung,ID,-8.5333,115.4,74.08,90,90,1.83,overcast clouds
282,Churapcha,RU,62.0025,132.4325,31.98,100,98,9.73,light snow
283,Constancia,MX,24.2231,-107.1869,97.21,26,60,10.13,scattered clouds
284,Puerto Ayacucho,VE,5.6639,-67.6236,80.06,100,86,5.84,light rain
285,Kropotkin,RU,45.4375,40.5756,50.97,11,77,12.82,few clouds
286,Aswan,EG,24.0934,32.907,96.1,0,21,11.5,clear sky
287,Agadez,NE,19.75,10.25,79.61,15,11,3.94,few clouds
288,Yeppoon,AU,-23.1333,150.7333,65.98,2,65,5.19,clear sky
289,Ho Chi Minh City,VN,10.75,106.6667,80.62,40,94,6.91,moderate rain
290,Kiunga,PG,-6.1219,141.2906,73.38,100,99,1.3,overcast clouds
291,Shilong,CN,23.1123,113.8425,79.12,93,92,5.7,light rain
292,Carnarvon,AU,-24.8667,113.6333,62.67,0,82,14.97,clear sky
293,Bjornevatn,NO,69.6672,29.9847,41.34,75,100,4.61,mist
294,Enkoping,SE,59.6361,17.0777,51.67,100,71,12.64,overcast clouds
295,Merritt,CA,50.1123,-120.7942,47.44,98,78,1.48,overcast clouds
296,Arlit,NE,18.7369,7.3853,87.57,25,9,12.55,scattered clouds
